t,ee_x,ee_y,ee_z,ee_err,manipulability,qp_solve_ms,qp_status,q0,q1,q2,q3,q4,q5,q6,qd0,qd1,qd2,qd3,qd4,qd5,qd6,dist_s0,dist_s1
6.509999999999906,0.5977475238533637,-0.19534170818780855,0.037778700283063765,0.04394675723696274,0.11846548293021582,0.1996669998334255,ok,1.6868460452364702,-1.6550102523120414,-1.7142074509070606,-1.8387380109327343,-1.7177355565945278,1.7634309783892415,1.1851545051081906,0.016728083368313804,-0.012865817695472504,-0.02788033253975216,0.03353741459159933,-0.02070800486235681,0.03297402077170771,-0.009997240563256078,0.5175500823701503,0.6008817497832852
6.519999999999905,0.5978051433349307,-0.1953806291946372,0.03760538918343388,0.043772843301745495,0.11846366799992161,0.1341659990430344,ok,1.6870133260701534,-1.655138910488996,-1.7144862542324582,-1.8384026367868183,-1.7179426366431514,1.7637607185969586,1.1850545327025581,0.016581479047940675,-0.01281154495406269,-0.02774392847142958,0.033283474405019414,-0.020616346312417065,0.032816792338922623,-0.00991070401188247,0.5193845646242965,0.6027488892286694
6.529999999999905,0.5978622092560963,-0.1954192662540415,0.037432919656178884,0.04359959585309982,0.11846179584317958,0.10220900003332645,ok,1.687179140860633,-1.6552670259385367,-1.7147636935171724,-1.8380698020427682,-1.7181488001062755,1.764088886520348,1.1849554256624393,0.01643600178587101,-0.012757445694621014,-0.027608333367162723,0.03303133289395818,-0.020525216406915032,0.03266037998992539,-0.009824825322886702,0.5212193205639497,0.6046165905055877
6.539999999999905,0.5979187263001655,-0.19545762142395232,0.03726128728638729,0.04342701269235714,0.11845986740045539,0.26133300161745865,ok,1.6873435008784916,-1.655394600395483,-1.715039776850844,-1.8377394887138285,-1.7183540522703447,1.7644154903202471,1.1848571774092105,0.016291642908619012,-0.012703522899138887,-0.02747353955590805,0.03278097768933934,-0.020434612708293366,0.032504776861873926,-0.009739600038875603,0.5230543471209683,0.6064848491749274
6.549999999999905,0.5979746991109824,-0.19549569674677483,0.03709048768402991,0.04325509162268704,0.11845788359994519,0.11958399954892229,ok,1.6875064173075778,-1.6555216356244744,-1.715314512246403,-1.8374116789369352,-1.7185583983974275,1.7647405380888659,1.1847597814088218,0.016148393824598494,-0.012649779322515506,-0.027339539545963975,0.03253239649956787,-0.020344532669210047,0.032349976297225934,-0.009655023712422323,0.5248896417152766,0.6083536608528058
6.559999999999905,0.598030132293262,-0.19553349424951003,0.036920516483823024,0.04308383044918452,0.11845584535772906,0.11412500134611037,ok,1.6876679012458238,-1.6556481334176996,-1.7155879076418628,-1.8370863549719396,-1.7187618437241197,1.765064037851838,1.1846632311716976,0.01600624602243467,-0.012596217505685375,-0.027206326016962292,0.0322855771101392,-0.020254973641647692,0.03219597183260711,-0.009571091907124896,0.5267252004288889,0.6102230212096087
6.569999999999904,0.5980850304129192,-0.1955710159438735,0.03675136934509392,0.04291322697896059,0.11845375357791878,0.05054199937148951,ok,1.687827963706048,-1.6557740955927565,-1.7158599709020323,-1.8367634992008381,-1.718964393460536,1.7653859975701642,1.1845675202526262,0.01586519106932438,-0.012542839787990276,-0.02707389181230422,0.03204050738322117,-0.02016593288549231,0.03204275718836671,-0.009487800198585259,0.5285610211769378,0.6120929259690514
6.579999999999904,0.5981393979973954,-0.19560826382641328,0.0365830419516444,0.04274327902123025,0.11845160915280917,0.0435840011050459,ok,1.6879866156167413,-1.6558995239906364,-1.7161307098201555,-1.836443094127006,-1.719166052789391,1.765706425142048,1.1844726422506404,0.01572522060950252,-0.012489648318879623,-0.026942229931969795,0.03179717525727987,-0.020077407576583207,0.03189032625865495,-0.009405144175336666,0.5303971005978527,0.6139633709072659
6.589999999999904,0.5981932395359824,-0.1956452398786287,0.0364155300116165,0.042573984387395736,0.11844941296302441,0.0429579995397944,ok,1.6881438678228364,-1.6560244204738253,-1.716400132119475,-1.8361251223744333,-1.719366826865157,1.7660253284046346,1.184378590808887,0.015586326362751136,-0.012436645068869566,-0.026811333525769032,0.03155556874669376,-0.019989394814239243,0.03173867310218755,-0.009323119439714856,0.532233436140608,0.6158343518519116
6.599999999999904,0.5982465594801438,-0.19568194606708617,0.03624882925735763,0.042405340891131564,0.11844716587766244,0.3738750001502922,ok,1.688299731086464,-1.656148786924514,-1.7166682454547328,-1.8358095666869663,-1.7195667208132994,1.7663427151356563,1.18428535961449,0.015448500122991817,-0.012383831839958299,-0.026681195886889206,0.03131567594136433,-0.019901891628367103,0.0315877919334193,-0.009241721608650298,0.534070024580394,0.6177058646813061
